Date,Confirmed_cases,Recovered_cases,Deaths,Week,new_cases_last_week
2020-05-01,1103461,164015,64943,18,137676
2020-04-30,1069424,153947,62996,18,137676
2020-04-29,1039909,120720,60967,18,137676
2020-04-28,1012582,115936,58355,18,137676
2020-04-27,988197,111424,56259,18,137676
2020-04-26,965785,106988,54881,17,206976
2020-04-25,938154,100372,53755,17,206976
2020-04-24,905358,99079,51493,17,206976
2020-04-23,869170,80203,49724,17,206976
2020-04-22,840351,77366,47412,17,206976
2020-04-21,811865,75204,45086,17,206976
2020-04-20,784326,72329,42659,17,206976
2020-04-19,758809,70337,40945,16,203496
2020-04-18,732197,64840,39753,16,203496
2020-04-17,699706,58545,37411,16,203496
2020-04-16,667592,54703,34827,16,203496
2020-04-15,636350,52096,32734,16,203496
2020-04-14,607670,47763,30262,16,203496
2020-04-13,580619,43482,27870,16,203496
2020-04-12,555313,32988,26086,15,218511
2020-04-11,526396,31270,24342,15,218511
2020-04-10,496535,28790,22333,15,218511
2020-04-09,462780,25410,20255,15,218511
2020-04-08,428654,23559,18270,15,218511
2020-04-07,397121,21763,16191,15,218511
2020-04-06,366317,19581,13894,15,218511
2020-04-05,336802,17448,12375,14,195893
2020-04-04,308650,14652,10855,14,195893
2020-04-03,275367,9707,9246,14,195893
2020-04-02,243622,9001,7921,14,195893
2020-04-01,213242,8474,6501,14,195893
2020-03-31,188172,7024,5367,14,195893
2020-03-30,161831,5644,4192,14,195893
2020-03-29,140909,2665,3420,13,107633
2020-03-28,121465,1072,2731,13,107633
2020-03-27,101657,869,2265,13,107633
2020-03-26,83836,681,1726,13,107633
2020-03-25,65778,361,1316,13,107633
2020-03-24,53736,348,1008,13,107633
2020-03-23,43843,178,786,13,107633
2020-03-22,33276,178,586,12,29777
2020-03-21,25600,176,442,12,29777
2020-03-20,19273,147,349,12,29777
2020-03-19,13747,121,258,12,29777
2020-03-18,7783,105,164,12,29777
2020-03-17,6421,17,133,12,29777
2020-03-16,4632,17,99,12,29777
2020-03-15,3499,12,73,11,2981
2020-03-14,2727,12,58,11,2981
2020-03-13,2179,12,49,11,2981
2020-03-12,1663,12,41,11,2981
2020-03-11,1281,8,36,11,2981
2020-03-10,959,8,28,11,2981
2020-03-09,583,7,22,11,2981
2020-03-08,518,7,21,10,444
2020-03-07,402,7,17,10,444
2020-03-06,262,7,14,10,444
2020-03-05,217,7,12,10,444
2020-03-04,149,7,11,10,444
2020-03-03,118,7,7,10,444
2020-03-02,98,7,6,10,444
2020-03-01,74,7,1,9,59
2020-02-29,68,7,1,9,59
2020-02-28,60,7,0,9,59
2020-02-27,58,6,0,9,59
2020-02-26,57,6,0,9,59
2020-02-25,51,6,0,9,59
2020-02-24,51,5,0,9,59
2020-02-23,15,5,0,8,2
2020-02-22,15,5,0,8,2
2020-02-21,15,5,0,8,2
2020-02-20,13,3,0,8,2
2020-02-19,13,3,0,8,2
2020-02-18,13,3,0,8,2
2020-02-17,13,3,0,8,2
2020-02-16,13,3,0,7,2
2020-02-15,13,3,0,7,2
2020-02-14,13,3,0,7,2
2020-02-13,13,3,0,7,2
2020-02-12,12,3,0,7,2
2020-02-11,12,3,0,7,2
2020-02-10,11,3,0,7,2
2020-02-09,11,3,0,6,3
2020-02-08,11,0,0,6,3
2020-02-07,11,0,0,6,3
2020-02-06,11,0,0,6,3
2020-02-05,11,0,0,6,3
2020-02-04,11,0,0,6,3
2020-02-03,11,0,0,6,3
2020-02-02,8,0,0,5,3
2020-02-01,8,0,0,5,3
2020-01-31,7,0,0,5,3
2020-01-30,5,0,0,5,3
2020-01-29,5,0,0,5,3
2020-01-28,5,0,0,5,3
2020-01-27,5,0,0,5,3
2020-01-26,5,0,0,4,
2020-01-25,2,0,0,4,
2020-01-24,2,0,0,4,
2020-01-23,1,0,0,4,
2020-01-22,1,0,0,4,
